Descriptor,State Average Performance(%),National Average Performance(%)
Reads numbers up to 9999,58,64
Reads numbers up to 999,22,24
Reads numbers up to 99,17,11
Does not respond,4,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,64,67
Discriminates numbers up to 999,20,23
Discriminates numbers up to 99,11,8
Discriminates numbers only up to 9,5,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,40,53
Adds numbers upto 99,59,71
Adds numbers upto 9,90,92
Subtracts numbers upto 999,30,40
Subtracts  numbers upto 99,50,62
Subtracts  numbers upto 9,76,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,48,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,36,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,45,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,70,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,13,16
Understands and applies correct multiplication facts in less than 50% questions,6,6
Does not respond,11,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,39,49
Understands and applies correct Division facts in 50% and less than 80% questions,26,31
Understands and applies correct Division facts in less than 50% questions,9,6
Does not respond,26,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",54,62
"Identifies the month, date and day with help",18,20
"Make mistakes in identifying the Month, date and day",8,6
Dose not respond,20,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,43,46
Can either compare or estimate the volume of different containers,46,47
Attempts but makes mistakes in estimating and comparing the volume,3,3
Dose not respond,7,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,45,52
Tells the time correctly with the help of hint,41,36
Dose not respond,13,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,62,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,26,27
Makes effort but not able to calculate the length of the object,8,6
Dose not respond,4,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,63,70
correctly identifies one-fourth,37,47
correctly identifies three-fourth,53,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",34,42
correctly represents one-half,58,68
correctly represents one-fourth,48,55
correctly represents three-fourth,32,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",27,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,59,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,26,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,10,8
Dose not respond,4,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,67,70
Answers 50% - less than 80% questions correctly,27,23
Answers less than 50% questions correctly,4,5
Answers less than 50% questions correctly,2,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,18,41,36,5.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,19,41,36,4.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,16,40,38,6.0
,National,11,36,43,10,
