Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,47,64
Reads numbers up to 999,30,24
Reads numbers up to 99,21,11
Does not respond,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,48,67
Discriminates numbers up to 999,30,23
Discriminates numbers up to 99,18,8
Discriminates numbers only up to 9,5,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,26,53
Adds numbers upto 99,43,71
Adds numbers upto 9,78,92
Subtracts numbers upto 999,16,40
Subtracts  numbers upto 99,34,62
Subtracts  numbers upto 9,61,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,32,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,22,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,27,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,63,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,10,16
Understands and applies correct multiplication facts in less than 50% questions,11,6
Does not respond,16,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,49,49
Understands and applies correct Division facts in 50% and less than 80% questions,28,31
Understands and applies correct Division facts in less than 50% questions,7,6
Does not respond,16,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",48,62
"Identifies the month, date and day with help",16,20
"Make mistakes in identifying the Month, date and day",7,6
Dose not respond,29,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,33,46
Can either compare or estimate the volume of different containers,55,47
Attempts but makes mistakes in estimating and comparing the volume,6,3
Dose not respond,6,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,34,52
Tells the time correctly with the help of hint,44,36
Dose not respond,22,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,48,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,26,27
Makes effort but not able to calculate the length of the object,14,6
Dose not respond,13,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,55,70
correctly identifies one-fourth,30,47
correctly identifies three-fourth,48,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",27,42
correctly represents one-half,47,68
correctly represents one-fourth,42,55
correctly represents three-fourth,27,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",22,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,43,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,37,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,18,8
Dose not respond,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,58,70
Answers 50% - less than 80% questions correctly,27,23
Answers less than 50% questions correctly,10,5
Answers less than 50% questions correctly,5,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,29,48,20,3.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,28,48,22,2.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,30,48,19,3.0
,National,11,36,43,10,
