Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,64,64
Reads numbers up to 999,28,24
Reads numbers up to 99,7,11
Does not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,68,67
Discriminates numbers up to 999,24,23
Discriminates numbers up to 99,6,8
Discriminates numbers only up to 9,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,51,53
Adds numbers upto 99,70,71
Adds numbers upto 9,94,92
Subtracts numbers upto 999,39,40
Subtracts  numbers upto 99,59,62
Subtracts  numbers upto 9,81,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,57,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,47,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,54,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,50,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,29,16
Understands and applies correct multiplication facts in less than 50% questions,12,6
Does not respond,9,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,38,49
Understands and applies correct Division facts in 50% and less than 80% questions,32,31
Understands and applies correct Division facts in less than 50% questions,7,6
Does not respond,23,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",58,62
"Identifies the month, date and day with help",22,20
"Make mistakes in identifying the Month, date and day",8,6
Dose not respond,12,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,56,46
Can either compare or estimate the volume of different containers,38,47
Attempts but makes mistakes in estimating and comparing the volume,3,3
Dose not respond,2,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,53,52
Tells the time correctly with the help of hint,39,36
Dose not respond,8,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,62,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,24,27
Makes effort but not able to calculate the length of the object,10,6
Dose not respond,4,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,75,70
correctly identifies one-fourth,61,47
correctly identifies three-fourth,70,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",56,42
correctly represents one-half,73,68
correctly represents one-fourth,67,55
correctly represents three-fourth,58,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",51,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,49,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,40,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,8,8
Dose not respond,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,73,70
Answers 50% - less than 80% questions correctly,21,23
Answers less than 50% questions correctly,5,5
Answers less than 50% questions correctly,1,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,8,40,42,10.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,9,43,39,9.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,7,38,43,12.0
,National,11,36,43,10,
