Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,66,64
Reads numbers up to 999,20,24
Reads numbers up to 99,13,11
Does not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,76,67
Discriminates numbers up to 999,17,23
Discriminates numbers up to 99,5,8
Discriminates numbers only up to 9,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,55,53
Adds numbers upto 99,72,71
Adds numbers upto 9,95,92
Subtracts numbers upto 999,46,40
Subtracts  numbers upto 99,67,62
Subtracts  numbers upto 9,85,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,57,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,36,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,51,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,78,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,10,16
Understands and applies correct multiplication facts in less than 50% questions,5,6
Does not respond,7,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,45,49
Understands and applies correct Division facts in 50% and less than 80% questions,32,31
Understands and applies correct Division facts in less than 50% questions,8,6
Does not respond,15,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",70,62
"Identifies the month, date and day with help",19,20
"Make mistakes in identifying the Month, date and day",5,6
Dose not respond,7,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,36,46
Can either compare or estimate the volume of different containers,57,47
Attempts but makes mistakes in estimating and comparing the volume,3,3
Dose not respond,4,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,54,52
Tells the time correctly with the help of hint,31,36
Dose not respond,16,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,68,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,23,27
Makes effort but not able to calculate the length of the object,7,6
Dose not respond,2,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,64,70
correctly identifies one-fourth,34,47
correctly identifies three-fourth,50,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",30,42
correctly represents one-half,58,68
correctly represents one-fourth,31,55
correctly represents three-fourth,19,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",16,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,56,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,29,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,12,8
Dose not respond,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,74,70
Answers 50% - less than 80% questions correctly,21,23
Answers less than 50% questions correctly,4,5
Answers less than 50% questions correctly,1,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,8,41,45,6.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,10,40,44,6.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,6,41,47,6.0
,National,11,36,43,10,
