Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,85,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,95,95
Correctly identifies at least one final sound in grade level words,88,89
Not able to identify the initial sound and final sound in any of the given grade level words,4,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,91,91
Reads 50-79 letters correctly/reads some letters with self correction,5,5
Reads 10-49 letters correctly/hesitantly  with self correction,2,2
Reads less than 10 letters correctly/hesitantly  with self correction,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,53,54
Reads 50% to Less than 80% words correctly (with self correction wherever needed),19,19
Reads 10% to less than 50% words correctly (with self correction wherever needed),21,19
Reads less than 10% words correctly (with self correction wherever needed),8,8

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,32,36
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),26,25
Reads 10% to less than 50% words correctly (with self correction wherever needed),22,20
Reads less than 10% words correctly (with self correction wherever needed),20,19

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,85,86

Benchmark,,0 - 10,11 - 24,25 - 39,40 and above
Percentage of Students meeting the standard,State/UT,27,33,24,16.0
,National,26,34,24,16.0
Percentage of Girls meeting the standard,State/UT,29,29,26,16.0
,National,27,31,25,17.0
Percentage of Boys meeting the standard,State/UT,26,36,23,15.0
,National,26,36,23,15
