Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,82,84

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,98,98
Correctly identifies at least one final sound in grade level words,95,96
Not able to identify the initial sound and final sound in any of the given grade level words,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,84,82
Reads 50-79 letters correctly/reads some letters with self correction,11,13
Reads 10-49 letters correctly/hesitantly  with self correction,4,4
Reads less than 10 letters correctly/hesitantly  with self correction,1,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,60,60
Reads 50% to Less than 80% words correctly (with self correction wherever needed),25,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),9,8
Reads less than 10% words correctly (with self correction wherever needed),6,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,69,67
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),19,20
Reads 10% to less than 50% words correctly (with self correction wherever needed),7,7
Reads less than 10% words correctly (with self correction wherever needed),5,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,80,84

Benchmark,,0 - 13,14 - 31,32 - 52,53 and above
Percentage of Students meeting the standard,State/UT,20,47,19,14.0
,National,21,43,21,15.0
Percentage of Girls meeting the standard,State/UT,19,46,19,16.0
,National,20,43,22,15.0
Percentage of Boys meeting the standard,State/UT,21,50,19,10.0
,National,22,43,19,16
