Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,85,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,97,97
Correctly identifies at least one final sound in grade level words,93,95
Not able to identify the initial sound and final sound in any of the given grade level words,2,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,85,87
Reads 50-79 letters correctly/reads some letters with self correction,10,7
Reads 10-49 letters correctly/hesitantly  with self correction,2,3
Reads less than 10 letters correctly/hesitantly  with self correction,3,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,63,75
Reads 50% to Less than 80% words correctly (with self correction wherever needed),19,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),10,6
Reads less than 10% words correctly (with self correction wherever needed),8,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,54,68
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),23,17
Reads 10% to less than 50% words correctly (with self correction wherever needed),11,8
Reads less than 10% words correctly (with self correction wherever needed),13,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,87,87

Benchmark,,0 - 16,17 - 34,35 - 54,55 and above
Percentage of Students meeting the standard,State/UT,23,36,21,20.0
,National,19,35,23,23.0
Percentage of Girls meeting the standard,State/UT,21,41,21,17.0
,National,19,33,25,23.0
Percentage of Boys meeting the standard,State/UT,25,32,20,23.0
,National,19,36,23,22
