Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,76,83

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,93,96
Correctly identifies at least one final sound in grade level words,91,95
Not able to identify the initial sound and final sound in any of the given grade level words,6,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,45,58
Reads 50-79 letters correctly/reads some letters with self correction,28,22
Reads 10-49 letters correctly/hesitantly  with self correction,17,17
Reads less than 10 letters correctly/hesitantly  with self correction,10,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,43,52
Reads 50% to Less than 80% words correctly (with self correction wherever needed),24,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),15,16
Reads less than 10% words correctly (with self correction wherever needed),17,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,58,64
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),17,21
Reads 10% to less than 50% words correctly (with self correction wherever needed),12,11
Reads less than 10% words correctly (with self correction wherever needed),14,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,92,88

Benchmark,,0 - 13,14 - 29,30 - 48,49 and above
Percentage of Students meeting the standard,State/UT,25,32,30,13.0
,National,18,38,28,16.0
Percentage of Girls meeting the standard,State/UT,20,39,18,23.0
,National,17,40,28,15.0
Percentage of Boys meeting the standard,State/UT,29,27,38,6.0
,National,19,37,27,17
