Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,93,78

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,100,96
Correctly identifies at least one final sound in grade level words,99,92
Not able to identify the initial sound and final sound in any of the given grade level words,0,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,91,73
Reads 50-79 letters correctly/reads some letters with self correction,6,13
Reads 10-49 letters correctly/hesitantly  with self correction,2,8
Reads less than 10 letters correctly/hesitantly  with self correction,0,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,83,70
Reads 50% to Less than 80% words correctly (with self correction wherever needed),13,11
Reads 10% to less than 50% words correctly (with self correction wherever needed),2,6
Reads less than 10% words correctly (with self correction wherever needed),2,12

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,68,65
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),27,16
Reads 10% to less than 50% words correctly (with self correction wherever needed),4,10
Reads less than 10% words correctly (with self correction wherever needed),1,10

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,92,77

Benchmark,,0 - 11,12 - 32,33 - 52,53 and above
Percentage of Students meeting the standard,State/UT,3,21,34,42.0
,National,16,34,28,22.0
Percentage of Girls meeting the standard,State/UT,2,24,36,38.0
,National,15,33,27,25.0
Percentage of Boys meeting the standard,State/UT,6,17,27,50.0
,National,18,36,27,19
